Price,Close,High,Low,Open,Volume
Ticker,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS
Date,,,,,
2021-01-01,1086.0972900390625,1090.4487871704575,1082.0905888370053,1083.9000837645226,4253550
2021-01-04,1110.052001953125,1111.559932093562,1086.7006476724725,1093.464770408318,7208454
2021-01-05,1114.833984375,1119.3146475877952,1098.6775951199797,1104.666187996577,8145280
2021-01-06,1104.7525634765625,1121.8999025322664,1092.6461030616813,1120.17655398767,7161715
2021-01-07,1087.5618896484375,1118.1513174784952,1081.8317363559845,1116.7295343029516,10954918
2021-01-08,1130.6025390625,1134.6524703484326,1101.4348924983926,1101.4348924983926,13186251
2021-01-11,1185.8360595703125,1191.997051488517,1154.6434938259667,1156.452988712158,20528626
2021-01-12,1182.00146484375,1187.386928051531,1171.876794013122,1187.386928051531,8309868
2021-01-13,1195.2713623046875,1200.139842468759,1171.8768872321662,1183.8110536129677,14442997
2021-01-14,1180.9244384765625,1192.5570396581995,1136.074256291206,1171.8768597797336,27521697
2021-01-15,1158.90869140625,1175.7113385699836,1154.6434461232384,1171.8769303937345,15018441
2021-01-18,1130.5596923828125,1154.6434445439536,1125.3465213241816,1152.920096119261,8861765
2021-01-19,1134.523193359375,1146.8881953147215,1130.5163878684557,1137.4097804774099,5585744
2021-01-20,1154.16943359375,1161.8814805840243,1137.883875806407,1137.883875806407,8225838
2021-01-21,1154.385009765625,1172.781840093079,1150.3351826571766,1163.260297069055,6142421
2021-01-22,1155.375732421875,1168.4301164859517,1143.053855513784,1143.441566797093,9646591
2021-01-25,1141.804443359375,1161.4506568831903,1131.3782067409234,1158.951780705668,6542611
2021-01-27,1121.0380859375,1143.9155770365226,1107.3374457103669,1137.0652043305388,8133665
2021-01-28,1099.6685791015625,1117.1174817647845,1096.5235523990264,1113.1107808566571,4660690
2021-01-29,1067.6573486328125,1112.550548750536,1060.720829969721,1108.3283245723426,12183519
2021-02-01,1086.485107421875,1101.1765906055678,1069.3377684222917,1077.5667997697462,8880279
