Price,Close,High,Low,Open,Volume
Ticker,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS
Date,,,,,
2021-01-01,663.9057006835938,672.2682665596484,661.8324899943431,670.8706194358238,8810938
2021-01-04,659.6893920898438,669.9388035488668,651.7693923260533,669.9388035488668,15740192
2021-01-05,664.6743774414062,666.5612238531063,656.4282819563354,661.1802595459679,14386824
2021-01-06,661.8092041015625,670.8705931849613,658.3383464243002,668.5411814030691,22134050
2021-01-07,659.805908203125,667.4230735980611,658.0821661778708,667.3764967350231,19894842
2021-01-08,666.9805297851562,671.8024011097472,662.9972126337416,667.1435772462953,13768764
2021-01-11,676.2048950195312,682.4710465719119,669.1468231131314,675.5293883793129,17331392
2021-01-12,689.9718017578125,693.0931909419772,675.1101425268274,676.6708371189097,20388156
2021-01-13,685.1500244140625,697.379438511434,681.1667067884669,695.5159087442155,16934650
2021-01-14,684.2648315429688,693.2330684840425,678.3248304521276,685.3829607694453,12297166
2021-01-15,683.286376953125,685.6157887609149,673.2000124513131,684.4277659907799,14165236
2021-01-18,690.9501342773438,700.1513111208578,683.4494394650668,684.8005097174363,42825632
2021-01-19,700.6171875,704.2510927173035,683.4494336192288,695.0033390897886,17360254
2021-01-20,695.0965576171875,699.2894993186317,692.301263149558,699.2894993186317,13346052
2021-01-21,687.0834350585938,696.1914025031128,683.9853055045107,695.0965901594512,26333054
2021-01-22,672.5245361328125,683.8687607747444,670.9405246579323,683.8687607747444,15392364
2021-01-25,681.5159912109375,689.9717673229738,677.9287198278455,682.5642265090312,20344718
2021-01-27,656.7078247070312,685.7323211979973,655.1005531628573,683.9153684499677,23556276
2021-01-28,638.9343872070312,652.8410221795793,625.2141734367799,647.5299515080465,42704446
2021-01-29,647.8093872070312,656.3117398258938,635.6964464897477,648.205375817939,28704502
2021-02-01,687.9917602539062,690.6705837659835,652.7011722469766,657.0105839837964,26370544
2021-02-02,727.03271484375,735.3952801723026,697.6122334393361,699.2893985040394,42420206
2021-02-03,733.671630859375,736.886173943163,718.3906652955849,735.6283142034556,20237254
2021-02-04,735.6748657226562,739.8212303398263,719.0661472568776,729.5718178288212,24484684
2021-02-05,744.2936401367188,753.9141221565797,721.1858866666988,721.1858866666988,27054716
2021-02-08,747.8577270507812,760.157033858061,743.4085273561383,754.7294924916777,17447580
2021-02-09,750.9324951171875,758.4565068510009,739.2155420064337,750.07062409712,18421366
2021-02-10,736.909423828125,752.3301185888382,730.0376590097499,749.3018832451476,19788006
2021-02-11,732.5300903320312,744.3868300786064,728.7331378641071,737.0258663141597,13648618
2021-02-12,737.0026245117188,741.9177064770458,732.8329998671228,733.2523053924318,9910106
2021-02-15,753.1454467773438,757.0588701571608,743.8743760087222,745.4583874803633,10355244
2021-02-16,757.82763671875,764.5130379556755,749.348542699615,755.2885434515557,13897358
2021-02-17,739.1224365234375,755.5681081901504,737.4918481037513,754.7294971118617,12794426
2021-02-18,724.1210327148438,748.1838130338533,721.185950864325,748.1838130338533,14720560
2021-02-19,717.0396118164062,728.7332490305126,714.1977404658691,719.7883294323337,17139508
2021-02-22,721.1859741210938,733.2523399717498,717.202656748423,719.8116437532008,29451838
2021-02-23,712.4041137695312,725.7050227355288,709.3758780401585,723.8648099250751,18239906
2021-02-24,748.4168090820312,751.9109273171002,706.3942365231012,711.1695314443621,14314332
2021-02-25,748.3934326171875,762.3000096545275,746.3435388642035,749.9541271452258,20109570
2021-02-26,714.8499145507812,740.2405035257096,708.6070794654332,739.3786325217429,27912846
2021-03-01,726.26416015625,732.6234669507429,717.7850654734542,728.6401492689133,13536018
2021-03-02,730.5966796875,739.5882318050076,722.5835260028767,734.0907973180748,16110038
2021-03-03,739.2854614257812,743.5482966812122,729.1059425476798,737.9577079843609,11222410
2021-03-04,723.07275390625,731.9012020549309,717.0395431025222,721.4421656139571,16291438
2021-03-05,712.7999877929688,720.0677410003066,708.6536235487198,713.2658701379315,17445822
2021-03-08,707.908203125,724.4470259028463,704.6470268026078,718.3905555898322,15117050
2021-03-09,727.9412841796875,729.4320851815223,716.6436354492188,719.788341796875,15066696
2021-03-10,724.7965087890625,733.7647445558563,723.1193436041591,732.3670974233689,11055016
2021-03-12,723.026123046875,745.4117937253521,715.1527564719762,745.4117937253521,15631204
2021-03-15,712.1710815429688,721.3722581601378,705.9515634062038,721.3722581601378,12230386
2021-03-16,704.4840698242188,717.645247386773,703.482411308208,713.219364666622,13722366
2021-03-17,696.6571655273438,716.9929416198833,694.257860034132,710.1211769097512,21064428
2021-03-18,694.6306762695312,709.096347909828,690.041745885562,704.2977363182185,18065540
2021-03-19,697.6588745117188,704.0414404652653,686.7339552850576,691.8353446743922,21235020
2021-03-22,684.4511108398438,696.4475821404212,680.3746400095504,696.4475821404212,14015632
2021-03-23,698.8934326171875,702.2943397175386,684.4277626140187,684.8470681114331,19761428
2021-03-24,688.9468994140625,701.8285019700834,685.3129940326869,694.5840649453481,16368900
2021-03-25,681.7490234375,696.7504713848288,675.6459751498256,694.2579549579342,23964356
2021-03-26,694.7704467773438,698.357718513874,686.7106584986326,696.0283065108258,12021258
2021-03-30,723.8413696289062,727.9644738383245,699.5456510700931,701.9216396323728,25607644
2021-03-31,695.865234375,721.1859305763878,693.2329875307913,721.1859305763878,30774506
2021-04-01,692.650634765625,698.5440583003154,682.5176929084517,698.5440583003154,35763762
2021-04-05,675.3430786132812,691.8353260425176,666.6776778227897,689.5059141703206,16006586
2021-04-06,670.987060546875,681.4228366536412,667.4463660295091,680.1882370410952,15075734
2021-04-07,674.2249755859375,678.6508583140842,662.2751377162687,670.5445501820166,25088180
2021-04-08,667.5162963867188,680.6075798822934,666.4447441652386,676.9270977085577,17613592
2021-04-09,662.3682250976562,667.5162477665696,659.270096124209,664.3482250671763,28157816
