Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2021-01-01,2521.07421875,2531.1903707419106,2478.6724752945443,2479.533424400239,2681440
2021-01-04,2616.81201171875,2626.540779746348,2532.0085152654137,2539.800147587225,5113293
2021-01-05,2662.9150390625,2681.210203815193,2616.9404503021897,2616.9404503021897,5801309
2021-01-06,2627.185546875,2680.5643782386737,2614.8739356671163,2668.94156818368,3726716
2021-01-07,2611.086181640625,2652.4548233256423,2583.062249518992,2647.418187574669,3717827
2021-01-08,2686.935546875,2693.0483686173875,2634.5038388648354,2660.332307873314,5879039
2021-01-11,2734.76171875,2780.865584960239,2709.019424811484,2780.865584960239,9508039
2021-01-12,2733.38427734375,2763.6465535020798,2711.9896085768073,2734.761669759502,3611458
2021-01-13,2719.6953125,2735.235486908283,2691.5423169490145,2733.513588584765,3572801
2021-01-14,2804.01318359375,2817.642108404087,2691.617988643426,2721.4636008005186,6931542
2021-01-15,2789.04736328125,2824.1114607421646,2768.905861020876,2790.4705484120045,4131692
2021-01-18,2779.041259765625,2809.231822066175,2749.411295099311,2803.4093564796403,4160906
2021-01-19,2812.638671875,2828.4240632946203,2787.882455800004,2788.7450431935063,2975735
2021-01-20,2854.129638671875,2870.648105502872,2818.1597810756234,2820.6612006556556,3453446
2021-01-21,2823.982421875,2854.4315948546932,2813.84701785,2850.851940648889,2778546
2021-01-22,2849.21240234375,2868.1029813523014,2796.421887265517,2796.421887265517,3052459
2021-01-25,2839.033935546875,2880.869424208278,2828.1220786435315,2854.258518832995,2272887
2021-01-27,2812.94091796875,2852.1023049644546,2783.5697724256493,2846.5386578880207,2786662
2021-01-28,2757.30322265625,2824.9731480067812,2746.3052355914906,2786.1567230723367,3083938
2021-01-29,2683.811279296875,2774.8142462015344,2674.0208284781415,2768.948610007639,5445659
2021-02-01,2707.9638671875,2730.089149995435,2625.8024164648887,2674.020968399952,3985846
2021-02-02,2763.25537109375,2780.981583042147,2717.150119907805,2737.852216059484,2881837
2021-02-03,2760.3232421875,2791.333221488159,2728.062342505683,2771.493708480054,2505866
2021-02-04,2750.317138671875,2792.929088556471,2739.5779661560728,2774.1246384838455,2057261
2021-02-05,2724.008056640625,2765.3261227769435,2699.0361915221556,2759.3741428830053,2366135
2021-02-08,2772.4423828125,2782.707089139848,2721.5926846096877,2751.2226474927297,2526592
2021-02-09,2740.353515625,2799.78590709136,2729.2262236656798,2755.9664300290287,2658751
2021-02-10,2771.751953125,2777.0136095650437,2723.447061886596,2747.3406891842124,2127983
2021-02-11,2765.455078125,2776.9275321396753,2747.383915038683,2773.218364370516,1165882
2021-02-12,2752.343994140625,2799.52748410672,2744.7531826922145,2746.650832906159,2777404
2021-02-15,2708.395263671875,2768.043101041877,2701.235745785617,2768.043101041877,2630853
2021-02-16,2681.612060546875,2732.3752085365327,2674.0212484327935,2717.1506234075164,3435770
2021-02-17,2650.817138671875,2702.3567302902675,2627.0528162339115,2678.4199325093405,3678426
2021-02-18,2637.231689453125,2672.209440285452,2614.5024270724384,2643.8303988706775,4189909
2021-02-19,2649.73974609375,2662.9371676147,2601.6934493368462,2637.792823854593,3725028
