Price,Close,High,Low,Open,Volume
Ticker,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS
Date,,,,,
2021-01-01,505.9262390136719,515.0377068252925,504.5834729732283,513.6469973988901,13592625
2021-01-04,509.9544982910156,513.11952289266,502.8571207270198,510.52993602261097,16549750
2021-01-05,515.2774658203125,517.8670525075586,501.6102645398296,505.1110096868941,23311516
2021-01-06,524.3409423828125,528.0814041126355,513.9346531935635,516.7160717050868,28178838
2021-01-07,518.969970703125,531.7260717234732,517.6752066634016,529.5680926313146,21138034
2021-01-08,519.8812255859375,524.7246789613213,514.4143324971436,524.6287921772306,21937965
2021-01-11,522.4228515625,523.6696724080649,513.1195508027741,522.8544591541405,19394393
2021-01-12,525.5878295898438,528.129472984273,515.1335956952024,518.8741164381487,16388310
2021-01-13,533.7401733398438,538.056131614829,525.8275831690374,528.9446641454157,21920297
2021-01-14,530.6710205078125,535.610418251796,528.0814339094029,531.3903468663191,13330898
2021-01-15,520.7922973632812,528.4651120573996,519.3536446081341,527.5060102206348,15708956
2021-01-18,511.34515380859375,525.9714564222927,507.26897111297274,522.2309359448572,21580313
2021-01-19,524.1011962890625,525.3480169354823,512.0644802697094,516.9558760898676,20575358
2021-01-20,528.4652099609375,531.9179537973744,523.6696998886968,524.1013075029866,16097138
2021-01-21,530.0956420898438,538.0561763060138,527.2183363341966,532.3015647947194,18189277
2021-01-22,511.9685974121094,530.8629170997804,508.8994595350009,530.4792529130408,24515997
2021-01-25,516.0447998046875,520.1209831499677,509.4749747696347,514.6061468592945,23415249
2021-01-27,500.98681640625,517.1477173303118,497.8697354654614,515.8049513556309,28049286
2021-01-28,506.6455383300781,508.1800778323068,491.0601336961666,493.55377502202055,29836591
2021-01-29,515.0377197265625,522.6625915308599,507.7965120974116,511.53697437988643,33172808
2021-02-01,579.105712890625,584.5246620166673,528.4651445076596,529.4242464033179,69354326
2021-02-02,592.1014404296875,598.479490466414,574.214227961378,587.9293712434484,42362384
2021-02-03,596.8970336914062,601.8364318062661,588.888556380952,597.9041375000774,27155908
2021-02-04,602.6036987304688,605.8167251477457,584.0930441777774,593.492230882047,29982222
2021-02-05,589.0324096679688,609.3173781581226,586.0112155014483,602.6036653782369,32015570
2021-02-08,603.8504028320312,608.0225303222475,596.896915553926,596.896915553926,18230551
2021-02-09,607.4472045898438,616.8943940447033,602.8914702675485,605.5290006646668,27155615
2021-02-10,606.2962036132812,612.0987575785106,600.7813684695071,607.4470788991019,23967387
2021-02-11,604.857666015625,607.6869699268365,598.5755014344866,601.1171450084538,16072702
2021-02-12,621.1142578125,623.3202386257649,603.658653132906,604.1382039985855,19049709
2021-02-15,646.38671875,649.1201356713515,625.3344209385314,628.2117265563467,27155194
2021-02-16,631.4246826171875,651.6138234894805,622.9845980037339,645.8592123613623,24966739
2021-02-17,630.4655151367188,637.754723596953,622.7927010978988,628.01981736963,21684753
2021-02-18,618.2850341796875,625.7180735551965,611.5233192714663,623.4162056878533,27845347
2021-02-19,598.5275268554688,609.5092552791426,593.6840739855063,609.5092552791426,24055811
2021-02-22,584.908203125,603.5627446453855,582.4625052686657,596.5613132872595,27092321
2021-02-23,591.094482421875,597.5684201719565,584.140993727343,589.6078862018652,23534585
2021-02-24,614.880126953125,618.6206473058942,589.9434807051355,589.9434807051355,17762047
2021-02-25,602.3159790039062,621.8816807183324,600.6854941045485,616.4147883093957,38571809
2021-02-26,573.3031005859375,589.8476066254312,566.7332766756808,589.8476066254312,57349273
2021-03-01,583.4696044921875,586.826461067641,575.652959304134,582.7023346970133,21527318
2021-03-02,585.5316772460938,591.2862883246794,574.5020060121378,585.0521263228783,24051433
2021-03-03,606.2482299804688,607.8307713807001,588.7446219683223,592.7249178907655,21036174
2021-03-04,595.3624877929688,605.0973952215884,590.6149218128098,593.4442840465557,25057198
2021-03-05,584.524658203125,589.5599431224794,576.8997864746017,588.1212902883781,26645968
2021-03-08,583.181884765625,590.8067563977,576.5641169358287,586.5866847221433,19632433
2021-03-09,599.5344848632812,602.6515655734177,587.2579940819137,589.7036918543895,23056249
2021-03-10,600.0140380859375,604.7136601289973,596.3694631030166,603.035232047751,15838994
2021-03-12,587.7854614257812,611.9068929245028,583.4695037170661,605.6247884118243,21757862
2021-03-15,578.8179321289062,587.7855104787126,566.4454955824935,586.8744106064207,24347946
2021-03-16,570.6177368164062,582.1749040103057,569.3709159455889,582.0310152971985,17925629
2021-03-17,565.3905029296875,578.9618166191433,562.9927484643368,573.1112606003312,20214082
2021-03-18,554.936279296875,576.8038472165829,551.9630871258432,570.4257968168466,22776537
2021-03-19,562.6571044921875,564.8150835809497,546.688035819775,551.6753769771448,29162618
2021-03-22,549.9969482421875,562.8488774567164,546.208484360174,562.8488774567164,21755401
2021-03-23,562.4172973632812,565.150713972866,550.8121309050565,552.4426156103026,29486417
2021-03-24,544.290283203125,556.8065502544595,541.8925286515694,556.2790559609031,24434219
2021-03-25,548.1746826171875,555.3200035240314,534.3156483689476,544.8657693339983,27170186
2021-03-26,554.8883666992188,560.5950344462785,550.8121838140233,560.5950344462785,20724410
2021-03-30,567.2608032226562,568.8432861583041,558.197278995104,558.197278995104,28011943
2021-03-31,558.2931518554688,565.5344175034764,555.3199595978914,562.0336724082287,20119972
2021-04-01,570.0901489257812,571.7205751992258,556.4708912855509,563.5202662927583,15631940
2021-04-05,547.8869018554688,567.788264154814,540.453862924388,567.788264154814,23260127
2021-04-06,542.7557373046875,554.840396686435,541.3170845907209,551.1958215188389,23284697
2021-04-07,554.0252075195312,556.2790734532954,536.5215987427681,543.3791418524974,23984399
2021-04-08,553.114013671875,561.8897599218,549.8530441722431,558.1972414480667,19262565
2021-04-09,543.0435791015625,555.3200733327361,541.8926449619963,550.4766198067935,23239564
2021-04-12,516.5243530273438,529.376342810853,509.4270335893105,528.8488484363747,26601702
2021-04-13,537.6724243164062,540.7415616623333,515.8528592327415,518.8740531983577,25445897
2021-04-15,551.6753540039062,553.1619500509174,531.4862732997768,542.8036625639912,37614884
2021-04-16,543.7628173828125,554.1211058801416,541.0293419275475,551.0999115714098,24045008
2021-04-19,536.857177734375,539.3028753668722,512.5439730024381,527.5059361391804,28526176
2021-04-20,536.2338256835938,549.2297026977005,529.9996636032064,542.0843821439317,24425842
2021-04-22,555.5117797851562,556.8544871951352,524.5328030452572,529.4241988582675,34942633
2021-04-23,546.64013671875,556.7586500023934,543.8587178079017,546.5921933317907,33749097
2021-04-26,566.9251708984375,580.7362631655141,563.9519781029269,577.3794061529966,62584522
2021-04-27,574.2622680664062,577.3314058832747,566.9251150463095,568.9872075664226,24239685
2021-04-28,595.9379272460938,597.3286366741015,573.5429218567261,573.5429218567261,33292864
2021-04-29,596.0338745117188,602.7475876658382,584.0930444083912,597.0888631632214,34537860
2021-04-30,575.9406127929688,591.142352429469,573.638745129766,585.147966367927,23653258
2021-05-03,572.3440551757812,574.3581457373658,563.4723626573465,568.3158155136781,18010557
2021-05-04,567.356689453125,583.133926643283,564.9109914356804,572.2481440269456,15115127
